fecha;Open;High;Low;Close;Volume;Currency
24/08/2016;3.95;3.96;3.61;3.84;21857;USD
25/08/2016;3.84;3.88;3.75;3.81;21870;USD
26/08/2016;3.81;3.9;3.77;3.81;14349;USD
27/08/2016;3.81;3.85;3.62;3.78;4906;USD
28/08/2016;3.78;3.78;3.62;3.72;8192;USD
29/08/2016;3.72;3.84;3.7;3.77;3672;USD
30/08/2016;3.77;3.85;3.74;3.81;1582;USD
31/08/2016;3.81;3.85;3.74;3.74;1634;USD
01/09/2016;3.74;3.9;3.26;3.66;15471;USD
02/09/2016;3.66;4.35;3.65;3.84;11821;USD
03/09/2016;3.84;3.99;3.8;3.88;7478;USD
04/09/2016;3.88;4.08;3.85;4.02;4924;USD
05/09/2016;4.02;4.07;3.94;3.96;1935;USD
06/09/2016;3.96;3.98;3.91;3.95;2769;USD
07/09/2016;3.95;4.03;3.91;3.96;2159;USD
08/09/2016;3.96;4.03;3.95;4.01;353;USD
09/09/2016;4.01;4.02;3.94;3.96;1703;USD
10/09/2016;3.96;4.0;3.95;3.96;82;USD
11/09/2016;3.96;4.04;3.86;3.9;5005;USD
12/09/2016;3.9;3.96;3.77;3.88;3608;USD
13/09/2016;3.88;3.88;3.8;3.81;1445;USD
14/09/2016;3.81;3.85;3.8;3.85;211;USD
15/09/2016;3.85;3.95;3.81;3.81;2619;USD
16/09/2016;3.81;3.89;3.8;3.81;1406;USD
17/09/2016;3.81;3.88;3.81;3.82;912;USD
18/09/2016;3.82;3.87;3.81;3.87;5452;USD
19/09/2016;3.87;3.93;3.8;3.86;1896;USD
20/09/2016;3.86;4.0;3.76;4.0;11163;USD
21/09/2016;4.0;6.72;3.61;3.82;9972;USD
22/09/2016;3.76;5.05;3.76;3.79;10630;USD
23/09/2016;3.79;4.2;3.77;3.83;3087;USD
24/09/2016;3.83;4.06;3.83;3.87;1208;USD
25/09/2016;3.87;3.87;3.8;3.8;1049;USD
26/09/2016;3.8;4.0;3.79;3.92;3535;USD
27/09/2016;3.92;3.92;3.79;3.83;4210;USD
28/09/2016;3.83;3.9;3.79;3.81;1389;USD
29/09/2016;3.81;3.88;3.81;3.86;439;USD
30/09/2016;3.86;3.87;3.8;3.81;4678;USD
01/10/2016;3.81;3.86;3.81;3.85;1656;USD
